Currency,Date,ClosingPrice,24hOpen,24hHigh,24hLow
TRX,8/18/2018,0.021362833,0.023380921,0.024755187,0.020402251
TRX,8/19/2018,0.022329297,0.021585481,0.022886876,0.020847122
TRX,8/20/2018,0.020663594,0.022329271,0.022743609,0.020650209
TRX,8/21/2018,0.021010709,0.020401995,0.021274797,0.019978255
TRX,8/22/2018,0.019426257,0.021011116,0.022391825,0.019156782
TRX,8/23/2018,0.020606649,0.019604495,0.020858581,0.019518704
TRX,8/24/2018,0.021650994,0.020830288,0.021695032,0.020403916
TRX,8/25/2018,0.022366302,0.021558797,0.02266583,0.021022441
TRX,8/26/2018,0.022547063,0.022366714,0.023115259,0.021172706
TRX,8/27/2018,0.024264672,0.022714403,0.024312074,0.022392757
TRX,8/28/2018,0.026766545,0.024256525,0.027641371,0.024060242
TRX,8/29/2018,0.025822498,0.026748099,0.02722016,0.024586086
TRX,8/30/2018,0.024590666,0.025822459,0.025948986,0.023279316
TRX,8/31/2018,0.025352543,0.0245907,0.025691616,0.024315569
TRX,9/1/2018,0.026651821,0.025365056,0.027234044,0.025263164
TRX,9/2/2018,0.025470092,0.026653696,0.026779342,0.024736294
TRX,9/3/2018,0.02500848,0.025465154,0.025886572,0.024473113
TRX,9/4/2018,0.025226393,0.025055554,0.025859645,0.024924235
TRX,9/5/2018,0.022046598,0.025219227,0.025461043,0.021641358
TRX,9/6/2018,0.021320725,0.022046611,0.022175887,0.020204685
TRX,9/7/2018,0.020548139,0.021659025,0.022038287,0.020228716
TRX,9/8/2018,0.019151669,0.020547594,0.020846208,0.018738488
TRX,9/9/2018,0.019411354,0.019227654,0.020290059,0.018845793
TRX,9/10/2018,0.019207065,0.019410505,0.020291261,0.018912413
TRX,9/11/2018,0.018547455,0.019231169,0.019668691,0.017895057
TRX,9/12/2018,0.018222747,0.01856521,0.018727246,0.017184225
TRX,9/13/2018,0.019992073,0.018264893,0.020598099,0.018244769
TRX,9/14/2018,0.020069938,0.019992107,0.020669339,0.019158935
TRX,9/15/2018,0.019843959,0.019723164,0.020431582,0.019681308
TRX,9/16/2018,0.019971619,0.019850509,0.020098813,0.01921165
TRX,9/17/2018,0.018400855,0.019972091,0.020260347,0.018213707
TRX,9/18/2018,0.019451256,0.018434227,0.019657381,0.018332729
TRX,9/19/2018,0.019755827,0.01934215,0.020248894,0.018797196
TRX,9/20/2018,0.02219735,0.019676241,0.022401253,0.019656283
TRX,9/21/2018,0.023159626,0.02219735,0.026143316,0.021754928
TRX,9/22/2018,0.023391956,0.023159531,0.023858043,0.022277217
TRX,9/23/2018,0.023789753,0.023392516,0.024609636,0.023010683
TRX,9/24/2018,0.021096978,0.02378751,0.023817816,0.020816087
TRX,9/25/2018,0.020424809,0.021096992,0.021412129,0.020198475
TRX,9/26/2018,0.021240264,0.020424508,0.02205673,0.020323841
TRX,9/27/2018,0.022559608,0.021240713,0.023015162,0.020630892
TRX,9/28/2018,0.021449742,0.022561095,0.023082894,0.021198651
TRX,9/29/2018,0.022048595,0.02144741,0.022270621,0.021178936
TRX,9/30/2018,0.022280611,0.022050887,0.022736421,0.021765381
TRX,10/1/2018,0.022169005,0.022280459,0.02235824,0.021587465
TRX,10/2/2018,0.022094017,0.02194552,0.022175222,0.021901082
TRX,10/3/2018,0.021455545,0.022115387,0.022166904,0.021236323
TRX,10/4/2018,0.022837766,0.021455545,0.023585586,0.0214548
TRX,10/5/2018,0.023236893,0.022823476,0.023542246,0.022353255
TRX,10/6/2018,0.023724911,0.02337965,0.024473978,0.022912378
TRX,10/7/2018,0.025711992,0.023724903,0.026517449,0.023608539
TRX,10/8/2018,0.026823979,0.027064774,0.028433119,0.025950376
TRX,10/9/2018,0.026266397,0.026803035,0.026968057,0.025314079
TRX,10/10/2018,0.02532232,0.02624931,0.026297809,0.02473246
TRX,10/11/2018,0.021706941,0.025527756,0.025547715,0.021593049
TRX,10/12/2018,0.023172018,0.021706869,0.02390086,0.020753869
TRX,10/13/2018,0.02401391,0.023171165,0.024226119,0.022665135
TRX,10/14/2018,0.024365976,0.023834736,0.024956503,0.023821766
TRX,10/15/2018,0.025360191,0.023820805,0.027842829,0.022949718
TRX,10/16/2018,0.024790358,0.025360391,0.025904533,0.024615444
TRX,10/17/2018,0.023914966,0.024789352,0.02518705,0.023632893
